artistName,title
Anuc Atittawan & Hera Loani,The Christmas Song - Single
deadmau5,input_output - Single
Shouse,Love Tonight (Netsky & Sub Focus Bootleg) - Single
Metrik,Route 174 - Single
The Front Bottoms,Christmas Wrapping - Single
MUZZ,Stomp (MUZZ Remix) - Single
The Front Bottoms,Brothers Can't Be Friends
The Front Bottoms,I Hate My Friends
The Front Bottoms,My Grandma Vs. Pneumonia
ACE,FOUR ONE SIX - Single
1991,The Difference (1991 Edit) - Single
Delta Heavy,S.T.A.Y. (Delta Heavy Tribute) - Single
Sub Focus,Deep End (Sub Focus Remix) - Single
Various Artists,Best of 2020
Pop Up!,Serenade - Single
DPZ,DK Summit (DPZ Remix) - Single
Alibi,Dub Pack
Bachelors Of Science,Roll Back (Bachelors Of Science Bootleg) - Single
Marina and the Diamonds,Immortal (Mewone!, Syberian Beast Remix) - Single
Nintendo,Animal Crossing: New Leaf Original Soundtrack
Nintendo,Animal Crossing: City Folk Original Soundtrack
Nintendo,Animal Crossing: New Horizons Original Soundtrack
Nintendo,Animal Crossing: GameCube Original Soundtrack
Nintendo,Mario Kart Wii - Complete Soundtrack
The Legend of Zelda,Fairy Fountain (Vect Remix) - Single
Cardi B,WAP (feat. Megan Thee Stallion) [Dire Dire Remix] - Single
The Legend of Zelda,Ocarina of Time
Kill Paris,Baby Come Back - Single
Lady Gaga & Ariana Grande,Rain On Me - Single
Sub Focus & Wilkinson,Portals
Macky Gee,It's a Gee Thing
Wilkinson,Hypnotic
Flume,Rushing Back (Alternate Versions)
The Weeknd,Blinding Lights - Single
deadmau5,Monophobia (feat. Rob Swire) [Metrik Bootleg]
Eric Prydz,Opus
Various Artists,nintendo lofi mix
Phillip Schlosser,Super Mario World Game Over Remixes
Virtual Self,Ghost Voices (Metrik Bootleg) - Single
Adam F,Circles - Single
TESTPILOT,Testpilot things
MK,17 (Remixes)
oddwin,19 - Single
Wilkinson & Sub Focus,Take It Up - Single
The Wanted,Glad You Came (Smokey DnB Remix) - Single
Rick Astley,Never Gonna Give You Up (DnB Remix)
Worship Artists,Worship Sets
Radio 1 Dance,Radio 1 Dance
Kazumi Totaka,Nintendo Wii Music Collection
Protostar,Heads Will Roll
Various Artists,Club Penguin Original Soundtrack
Tyler Dakin,D:/ 0420 /
Dimension,Love To Me / Move Faster - Single
Noisestorm,Crab Champions Main Theme
Drezo,Heaven - Single
Tyler Dakin,D:/ 0320 /
deadmau5,While(1<2) [Lossless]
Chaos Chaos,Terryfold (feat. Justin Roiland) - Single
Ronettes,Sleigh Bells (PhatCap Remix) - Single
,Here Comes Santa Claus (Trap Remix) - Single
Pluffaduff,Baby I'm Back IV - Single
Frank Ocean,Shibuya Boy - Single
Artesia.,Her - Single
deadmau5,day of the deadmau5 (DJ Mix)
Post Malone,Hollywood's Bleeding (Remixes)
Playboi Carti,Kid Cudi (feat. Lil Uzi Vert, Young Nudy & A$AP Rocky) - Single
Half an Orange,Sunscreen - Single
DJ Splash Drip,Kusorare - EP
Pegboard Nerds,Gunslinga
Homage,eternity - Single
Marvin Gaye,Trouble Man (40th Anniversary Expanded Edition)
Henry Jackman,Captain America: The Winter Soldier (Original Motion Picture Soundtrack)
Zara Larsson,Never Forget You (Price & Takis Remix)
Clean Bandit,Rockabye ft. Sean Paul & Anne-Marie (SHAKED Remix)
Calvin Harris,Outside ft. Ellie Goulding (Savagez Remix)
Yoko Shimomura,Super Mario RPG Soundtrack
Hole,Celebrity Skin
The Knack,Get the Knack
Various Artists,The Breakfast Club (Original Motion Picture Soundtrack)
Various Artists,Spotlight Compilation, Vol. 1
Rezz,Nightmare on REZZ Street (DJ Mix)
The Tragically Hip,Fully Completely (Deluxe Version)
The Cranberries,Stars: The Best of 1992-2002
Bee Gees,Children of the World
Kendrick Lamar,To Pimp a Butterfly
Kool & The Gang,Something Special
ABBA,Gold: Greatest Hits
The Go-Go's,Beauty and the Beat
The Offspring,Conspiracy of One
Kiss,20th Century Masters - The Millennium Collection: The Best of Kiss
R.E.M.,Document
Eminem,The Marshall Mathers LP2
KlouD,Kryptonite - Single
James Brown,Number 1's: James Brown
Kevin Rudolf,In the City (Bonus Track Version)
Bethesda,Fallout 76 Country Roads Cover (Original Trailer Soundtrack)
Daft Punk,Harder, Better, Faster, Stronger (Far Out Remix)
Baltic House Orchestra,Country Roads (From the "Fallout 76" Teaser Trailer) - Single
Tyler Dakin,submarine transplant - Single
Catmosphere,Candy-Coloured Sky - Single
Safakash,Here, Have Some Music
MagoMar, Airmow & Christian Kuria,Silence - Single
Dr. Dre,2001
Tyler Dakin,Little Too Close (Ukulele Cover)
The Offspring,Americana
Louis Armstrong,Louis Armstrong - The Ultimate Collection
Camo,Flashin Lights - Single
Post Malone,Stoney (Deluxe)
Mayer Hawthorne,How Do You Do
Migos,Culture II
Kendrick Lamar, The Weeknd, SZA,Black Panther The Album Music From And Inspired By
Camo,I Wanna Live In L.A. - Single
Zedd, Maren Morris & Grey,The Middle - Single
rapper boi,rapper boi's first and only
Dan Croll,Sweet Disarray
Capital Cities,In a Tidal Wave of Mystery (Deluxe Edition)
BØRNS,Electric Love (Oliver Remix) - Single
Daft Punk,TRON: Legacy (Original Motion Picture Soundtrack)
J. Cole,4 Your Eyez Only
Tyler Dakin,your antelope is drowning - EP
deadmau5, Carl Cox & Big Iyz,Arachne - Single
Skrillex & Kendrick Lamar,HUMBLE. (SKRILLEX REMIX) - Single
Tyler Dakin,bestofnovember2017mix
Zero,Steady (feat. Prestige) - SIngle
LMFAO,Sorry for Party Rocking (Deluxe Version)
Various Artists,171107-LiveMix
Beck,Colors
Tyler Dakin,8bars of goodness - preview
Direct,Memory (Mr FijiWiji Remix)
H E R B,New Horizon
Kendrick Lamar,DAMN.
Chetreo,Rick And Morty Remixes
Tiny Meat Gang,Keep Ya Dick Fat - Single
MYRNE,Confessions (feat. Cozi Zuehlsdorff) - Single
The Revivalists,Wish I Knew You - Single
Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats
Sigala,Sweet Lovin' (Radio Edit) [feat. Bryn Christopher] - Single
Sky Ferreira,Night Time, My Time
Sir Sly,Don't You Worry, Honey
David Guetta,2U (feat. Justin Bieber) - Single
Sheppard,Keep Me Crazy - Single
Garrett Williamson,Vintage Synths - Single
Ben Briggs,Fearless Living - Single
SAFAKASH,First Kiss - Single
DJ Snake,Encore
DJ Snake & AlunaGeorge,You Know You Like It - Single
Cold War Kids,Love On the Brain (feat. Bishop Briggs) [Los Feliz Blvd] - Single
Julia Michaels,Issues (Alan Walker Remix) - Single
Lorde,Melodrama
Cashmere Cat,9
Bag Raiders,Shooting Stars - EP
Cold War Kids,La Divine
Bishop Briggs,Bishop Briggs - EP
Zedd & Alessia Cara,Stay - Single
Marian Hill,ACT ONE
Tyler Dakin,Ephemeral - Mix
Jon Bellion,The Human Condition
Milky Chance,Blossom (Deluxe)
The Verve,Urban Hymns (Deluxe / Remastered 2016)
Hailee Steinfeld & Grey,Starving (feat. Zedd) - Single
Brave Shores,Brave Shores
Desiigner,Panda - Single
Botnek,Grindhouse - Single
Martin Garrix,Gold Skies - EP
Caravan Palace,Je M'Amuse - EP
DJ Snake & Tiësto,Let Me Love You (feat. Justin Bieber) [Tiësto's AFTR:HRS Mix] - Single
Far East Movement,Free Wired
Nirvana,Nevermind
In The Valley Below,The Belt
Tove Lo,Lady Wood
Dirty Audio,Fast Forward - Single
X Ambassadors,VHS
K.Flay,Every Where Is Some Where
Gryffin & Bipolar Sunshine,Whole Heart - Single
Beck,Wow - Single
July Talk,July Talk
July Talk,Touch
Safakash,Lean Back
Tyler Dakin,Oldtown Edges - Single
Kungs,Layers
Major Lazer,Cold Water (feat. Justin Bieber & MØ) - Single
Major Lazer,Cold Water (feat. Justin Bieber & MØ) [Remixes] - EP
Jonas Blue,Perfect Strangers (feat. JP Cooper) - Single
The Weeknd,Starboy
MrTBakin,OCT_7_2K16_MIX
Dan Mangan,Unmake - EP
The Chainsmokers,#SELFIE - Single
Catfish and the Bottlemen,The Balcony
MrTBakin,SEPT_15_2K16 MIX
Tove Lo,Queen of the Clouds (Blueprint Edition)
Twenty One Pilots,Heathens (DISTO Remix)
Semisonic,20th Century Masters - The Millennium Collection: The Best of Semisonic
AWOLNATION,Megalithic Symphony (Deluxe Version)
Beck,Mellow Gold
BANNERS,Banners - EP
Of Monsters and Men,My Head Is An Animal
Reuben And The Dark,Heart in Two - Single
James Blake,The Colour in Anything
Vincent Tone,Premiumbeat.com / Royalty Free Music
RIMSKY,Premiumbeat.com / Royalty Free Music
Liam Aidan,Premiumbeat.com / Royalty Free Music
Senbei,Premiumbeat.com / Royalty Free Music
Alicks,a l e x
Chris Zabriskie,Cylinders
FÄIS,Hey (feat. Afrojack) [Remixes]
The 1975,I like it when you sleep, for you are so beautiful yet so unaware of it
Various Artists,Spinnin Records Dance Top 20: Best of 2015
Lana Del Rey,Born to Die
Andrew McMahon In the Wilderness,Andrew McMahon in the Wilderness (Deluxe Edition)
Cold War Kids,Hold My Home (Deluxe Edition)
Catfish and the Bottlemen,The Ride
MrTBakin,Amateur Hour - Single
Disclosure,Caracal (Deluxe)
Imagine Dragons,Smoke + Mirrors
SAFAKASH,Education
Haywyre,Two Fold Pt. 2
SAFAKASH,Teach - Single
JAM Studio,Premiumbeat.com / Royalty Free Music
Monstercat,Monstercat Tracks | Volume 2
Grabbitz,Ballin’ / Don’t Stop - Single
Grabbitz,Better with Time
Stonebank,Monument - EP
Pegboard Nerds,Pink Cloud EP
Coleman Hell,2 Heads - Single
Avicii,Wake Me Up
Macklemore & Ryan Lewis,Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee, Eric Nally) - Single
Justin Bieber,Purpose (Deluxe)
The Weeknd,Beauty Behind the Madness
MrTBakin,Android - Single
Young Empires,The Gates
Beck,Dreams - Single
MrTBakin,the.aud.pod Clips
Kevin MacLeod,Early Riser
Montee,Vanilla (VIP)
Proximity,Proximity Remixes
Eiffel 65,Europop
Grouplove,Never Trust A Happy Song
Jason Derulo,Talk Dirty
MrTBakin,This Is Us
Redfoo,New Thang
Snow Patrol,Eyes Open
Violent Femms,Blister In The Sun
Maroon 5,V
John Newman,Love Me Again
LMFAO,Strictly Background 9 CD1
Redfoo,Let's Get Ridiculous - Single
YouTube,YouTube Audio Library
Sheppard,Bombs Away
Milky Chance,Sadnecessary (Bonus Track Version)
DJ Snake,Turn Down For What
Lorde,Pure Heroine
MrTDakin,Cover Me
La Roux,La Roux
Andrew Gold,Spooky Scary Skeletons
Carbon Airways,Black Sun - EP
Sam Smith,In the Lonely Hour (Deluxe Version)
The Chainsmokers,#SELFIE (Instrumental Mix) - Single
Imagine Dragons,Night Visions
Jason Derulo,Tattoos - EP
KONGOS,Lunatic (Special Edition)
OneRepublic,Native (Deluxe Version)
OneRepublic,Waking Up
Various Artists,Wreck-It Ralph (Original Score)
LMFAO,Sorry for Party Rocking
will.i.am,#Willpower
Capital Cities,In a Tidal Wave of Mystery
Various Artists,More from Pitch Perfect (Original Motion Picture Soundtrack)
Lady Gaga,Born This Way
Lady Gaga,The Fame Monster (Deluxe Version)
Justin Bieber,Believe (Deluxe Edition)
House of Pain,House of Pain
Willy Moon,Yeah Yeah - Single
The Black Eyed Peas,The E.N.D. (The Energy Never Dies)
Ke$ha,TiK ToK - Single
Taio Cruz,Rokstarr (Bonus Track Version)
Enrique Iglesias,I Like It (feat. Pitbull) - Single
Various Artists,Kill Bill, Vol. 1 (Original Soundtrack)
The Black Eyed Peas,The Beginning (Deluxe Version)
Enrique Iglesias,Tonight (I'm Lovin' You) [feat. Ludacris & DJ Frank E] - Single
The Hit Crew,Drew's Famous Happy Birthday Party Music
Michael Giacchino,Cars 2 (Original Soundtrack)
Simple Plan,Jet Lag - Single
Baha Men,Who Let the Dogs Out
Instrumentals,Instrumental Hits, Vol. 1
Pitbull,Give Me Everything (feat. Ne-Yo, Afrojack & Nayer) - Single
The Submarines,Honeysuckle Weeks
Black Sheep,A Wolf In Sheep's Clothing
Darude,Before the Storm
Weezer,Make Believe
LMFAO,Party Rock Anthem (Remixes) [feat. Lauren Bennett & GoonRock]
The All-American Rejects,Move Along
Coldplay,Viva la Vida or Death and All His Friends
blur,The Best of Blur
Goose,Bring It On
Yolanda Be Cool,We No Speak Americano (feat. DCUP) [Original Version] - Single
Various Artists,Songs You Know: Ol' Skool Hip Hop
Owl City,Ocean Eyes
