artistName,title,appleMusicID,deezerID,dateAdded,isTrack
BEC,Phantasy - Single,1668890210,None,2023-03-15T15:35:17Z,False
Kanine,Ultralight (A.M.C Remix) - Single,1672655217,None,2023-03-06T13:56:36Z,False
Juveniles,Juveniles - EP,1201377221,None,2023-03-02T15:50:57Z,False
Skrillex,Quest For Fire,1672154692,None,2023-02-19T19:26:40Z,False
Gorillaz,Plastic Beach,859841880,None,2023-02-16T14:35:07Z,False
Kasablanca,Am I Dreaming? - Single,1661790379,None,2023-01-24T18:05:20Z,False
The Prototypes,Interaction - Single,1659094975,None,2023-01-19T17:33:31Z,False
The MD X-Spress,God Made Me Phunky,283332007,None,2022-12-22T01:07:31Z,False
Synergy & Lauren L'aimant,Where You Belong / Aurora - Single,1645581978,None,2022-11-16T16:51:48Z,False
Bob's Burgers,The Bob's Burgers Music Album, Vol. 2,1567171620,None,2022-11-02T14:01:39Z,False
Various Artists,90's Mixtape,1564333780,None,2022-10-14T20:14:58Z,False
Don't Hug Me I'm Scared,The Healthy Song - Single,1135098515,None,2022-10-03T12:57:37Z,False
Arkells,Blink Twice (Extended),1652973487,None,2022-09-24T23:14:23Z,False
Danny Michel,Feather, Fur & Fin,275426033,None,2022-09-03T23:47:25Z,False
Pendulum,Immersion (Deluxe Version),414575481,None,2022-08-29T02:04:27Z,False
DJ Andy,The Movement EP,1636297087,None,2022-08-26T14:23:05Z,False
NOTION,Hooked (Grafix Remix) - Single,1628807965,None,2022-08-25T15:27:02Z,False
Pogo,Ascend,1350936658,None,2022-07-26T19:46:02Z,False
Various Artists,Sick Music 2,366510248,None,2022-07-26T01:10:15Z,False
Ivy Lab & Two Fingers,Orange - Single,1465871158,None,2022-07-21T19:18:48Z,False
Weezer,SZNZ: Summer,1628433682,None,2022-06-21T17:06:25Z,False
Sub Focus & Wilkinson,Sub Focus & Wilkinson present: Portals at EDC Las Vegas 2022: Bass Pod Stage (DJ Mix),1629254655,None,2022-06-16T12:21:37Z,False
i_o,Not Techno - Single,1391497138,None,2022-06-14T16:11:29Z,False
Mountain,Mountain,1603464216,None,2022-06-01T01:38:12Z,False
San Holo,bb u ok? Deluxe,1614621024,None,2022-05-06T14:13:59Z,False
Danzel,Pump It Up!,296397178,None,2022-04-09T15:58:35Z,False
Various Artists,X4 - EP,1598932112,None,2022-03-25T17:00:14Z,False
Above & Beyond,Group Therapy 476,1614919814,None,2022-03-23T19:21:54Z,False
Various Artists,The Sound of Drum & Bass 2016 (Viper Presents),1565400317,None,2022-03-10T18:00:38Z,False
London Elektricity,Meteorites (Remixes) [feat. Elsa Esmeralda] - EP,433409552,None,2022-03-05T08:21:17Z,False
MUZZ & Koven,Catharsis X - Single,1604774549,None,2022-02-09T17:03:53Z,False
Various Artists,Confession X Night Bass: The Album,1600968285,None,2022-01-25T05:36:56Z,False
Boys Noize,Out of the Black,560640596,None,2021-12-16T19:09:59Z,False
2caves,Luminance EP,1232274168,None,2021-12-15T18:46:55Z,False
